// Dead Branch Summonable Monsters Database
//
// Structure of Database:
// MobID,DummyName,Rate

0,SCORPION,Scorpion,1001
1189,兽人弓箭手,71428
1191,邪恶箱,71428
1192,恶灵,71428
1193,钟怪,71428
1194,卷甲虫,71428
1195,飞行魔书,71428
1196,邪骸战俘,71428
1197,腐尸战俘,71428
1199,朽魔,71428
1200,艾斯恩魔女,71428
1201,瑞比欧,71428
1202,阿修罗狂战士,71428
1203,弑神者,71428
1204,兽牙怪,71428
1205,行刑者,71428
1206,虎蜥人,71428
1207,史汀,71428
1208,邪骸浪人,71428
1209,蓝鼠,71428
1211,伊特瓢虫,71428
1212,铁蝎,71428
1213,兽人战士长,71428
1214,巧克猴,71428
1215,灰森灵,214285
1216,梅纳海葵,71428
1219,深渊骑士,71428
1242,冰波利,357142
1243,雪熊,214285
1245,圣诞哥布灵,71428
1246,甜饼人,214285
1248,玩具士兵,214285
1249,邪恶礼盒,214285
1250,魔灵娃娃,71428
1253,蝙蝠弓箭手,71428
1254,奈吉鸟,214285
1255,奈利虫,214285
1256,单眼虫,214285
1257,邪恶使者,71428
1258,弓箭哥布灵,214285
1259,狮鹫兽,71428
1260,镜妖,71428
1261,狂暴野猫,214285
1262,半龙人,71428
1263,风魔巫师,71428
1264,人鱼士兵,71428
1265,绿饼人,214285
1266,海星,357142
1267,卡拉特小丑,71428
1268,血腥骑士,71428
1269,古钟魔,71428
1270,钟塔守护者,71428
1271,鳄鱼人,71428
1273,兽人女战士,214285
1274,邪恶摩艾,71428
1275,爱丽丝女仆,71428
1276,幽灵弓箭手,71428
1277,将军魔碑,214285
1278,钟乳巨石怪,71428
1279,三叶虫,214285
1280,喷射哥布灵,214285
1281,贤者虫,71428
1282,犬妖弓箭手,214285
1283,凯美拉,71428
1289,狂暴蚁后,71428
1290,邪骸战士长,71428
1291,狂暴恶灵,71428
1292,狂暴小恶魔,71428
1293,狂暴克瑞米,71428
1294,狂暴螳螂,71428
1295,鹗枭男爵,71428
1296,犬妖首领,71428
1297,狂暴木乃伊,71428
1298,腐尸首领,71428
1299,哥布灵首领,71428
1300,狂暴绿棉虫,71428
1301,狂暴小土人,71428
1302,迷幻之王,71428
1303,狂暴蜂兵,71428
1304,狂暴蜘蛛,71428
1305,狂暴蜈蚣,71428
1306,狂暴大脚熊,71428
1307,狂暴月夜猫,71428
1308,狂暴哥布灵,71428
1309,狂暴鬼火,71428
1310,狂暴米诺斯,71428
1311,狂暴野猪,71428
1313,流氓,71428
1314,果树龟,71428
1315,风灵龟,71428
1316,岩石龟,71428
1317,海豹宝宝,71428
1318,火焰龟,71428
1319,水灵龟,71428
1320,鹗枭首领,71428
1321,刺尾蜻蜓,71428
1322,弹簧兔,71428
1323,海獭,71428
1365,阿修罗机械战士,71428
1366,熔岩巨石,71428
1367,火焰妖,71428
1368,邪恶向日葵,71428
1369,七彩大嘴鸟,71428
1370,恶魔女仆,71428
1371,伪天使,71428
1372,魔羌,71428
1374,恶魔侍者,71428
1375,纸妖,71428
1376,鸟人哈比,71428
1377,邪灵魔导士,71428
1378,天邪鬼,71428
1379,七彩梦魇,71428
1380,爆钻伞蜥,71428
1381,暴焰野熊,71428
1382,赤焰小恶魔,71428
1383,爆炎蝙蝠,71428
1384,七彩飞龙,71428
1385,七彩地龙,71428
1386,沙妖,71428
1387,沙漠毒蝎,71428
1390,薇欧莉,71428
1391,啤酒企鹅,71428
1392,直升机哥布灵,214285
1400,伞妖,214285
1401,火忍西怒毕,71428
1402,牛蛙,71428
1403,武士火枪兵,71428
1404,米雅毕,214285
1405,天狗,71428
1406,钓鱼河童,71428
1408,血蝴蝶,71428
1409,元宵童子,214285
1410,猴桃木,71428
1412,恶云仙人,71428
1413,人参精,71428
1415,小花豹,214285
1416,妖仙女,71428
1417,拉链熊,214285
1493,森林妖姬,71428
1494,巨象甲虫,214285
1495,石炮火树,71428
1497,机木人,71428
1498,伍坦弹弓手,214285
1499,伍坦战士,71428
1500,苗娃佩瑞丝,214285
1503,鬼娃树,71428
1504,无颅武士,71428
1505,银月魔女,71428
1506,假面鬼,71428
1507,嗜血怪人,71428
1508,万圣魔,214285
1509,南瓜魂,214285
1510,兔斯拉,71428
1512,妖君,71428
1513,狐仙,71428
1514,舞狮,71428
1515,卡仑宝宝,71428
1516,米糕,71428
1517,豹皮怪,71428
1519,小青,71428
1520,肉粽怪,71428
1582,恶魔波利,71428
1584,塔噜安,71428
1586,群叶猫,71428
1587,克莱本,71428
1613,金属波利,71428
1614,矿石魔,71428
1615,黑耀石,71428
1616,矿工魔,71428
1617,废铁暖炉,71428
1618,温古力安特,71428
1619,三叶铁甲虫,71428
1620,废气魔,71428
1621,毒液魔,71428
1622,玩偶熊,71428
1627,疟蚊,71428
1628,摩尔,71428
1629,希尔士兵,71428
1631,小青,71428
1632,小妖精,71428
1633,恶魔之眼,71428
1634,闇●骑士领主,71428
1635,闇●十字刺客,71428
1636,闇●神工匠,71428
1637,闇●神官,71428
1638,闇●神射手,71428
1639,闇●超魔导师,71428
1652,闇●剑士,71428
1653,闇●盗贼,71428
1654,闇●商人,71428
1655,闇●服事,71428
1656,闇●弓箭手,71428
1657,闇●魔法师,71428
1664,红真晶,71428
1665,黄真晶,71428
1666,绿真晶,71428
1667,蓝真晶,71428
1668,阿克坦,71428
1669,迪靡克,71428
1670,暴风迪靡克,71428
1671,冰冻迪靡克,71428
1672,崩裂迪靡克,71428
1673,火焰迪靡克,71428
1675,红凡娜图,71428
1676,褐凡娜图,71428
1677,绿凡娜图,71428
1678,橘凡娜图,71428
1679,蓝凡娜图,71428
1680,希尔队长,71428
1681,双子星-S58,71428
1682,消防魔,71428
1686,兽人婴儿,71428
1687,绿变色龙,71428
1692,微风,71428
1693,黄色等离子体,71428
1694,红色等离子体,71428
1695,绿色等离子体,71428
1696,紫色等离子体,71428
1699,狂暴邪恶箱,71428
1703,慰劳者,71428
1704,达纳托斯的憎恨,71428
1705,达纳托斯的绝望,71428
1706,达纳托斯的悲哀,71428
1707,达纳托斯的苦恼,71428
1713,俄希托斯,71428
1714,红贝勒斯,71428
1715,诺博斯,71428
1717,绿贝勒斯,71428
1718,黄诺博斯,71428
1720,三头龙,71428
1721,龙蛋,71428
1736,爱丽俄,71428
1737,爱丽莎,71428
1738,恒量魔,71428
1752,皮影魔,71428
1753,彩色皮影魔,71428
1754,褐方体恶魔,71428
1755,黑方体恶魔,71428
1769,阿卡布,71428
1770,埃奇欧,71428
1771,潘贝勒克,71428
1772,伊西拉,71428
1773,异型,71428
1774,红恶魔之眼,71428
1775,雪兽,71428
1776,小雪兽,71428
1777,冰巨人,71428
1778,盖俄斯提,71428
1780,吃人草,71428
1781,捕虫草,71428
1782,土狼,71428
1783,迦利,71428
1784,石头波利,71428
1789,冰柱,71428
